timestamp,ip,cpu,in_errors,out_errors,label
2025-04-28T18:44:06.825476,192.168.122.2,1.0,0.0,0.0,healthy
2025-04-28T18:44:06.825476,192.168.122.3,1.0,0.0,0.0,healthy
2025-04-28T18:44:08.099340,192.168.122.2,1.0,0.0,0.0,healthy
2025-04-28T18:44:08.099340,192.168.122.3,1.0,0.0,0.0,healthy
2025-04-28T18:44:09.561883,192.168.122.2,1.0,0.0,0.0,healthy
2025-04-28T18:44:09.561883,192.168.122.3,1.0,0.0,0.0,healthy
2025-04-28T18:44:10.881444,192.168.122.2,1.0,0.0,0.0,healthy
2025-04-28T18:44:10.881444,192.168.122.3,1.0,0.0,0.0,healthy
2025-04-28T18:44:12.264054,192.168.122.2,1.0,0.0,0.0,healthy
2025-04-28T18:44:12.264054,192.168.122.3,1.0,0.0,0.0,healthy
2025-04-28T18:44:13.597100,192.168.122.2,1.0,0.0,0.0,healthy
2025-04-28T18:44:13.597100,192.168.122.3,1.0,0.0,0.0,healthy
2025-04-28T18:46:39.938869,192.168.122.2,1.0,0.0,0.0,healthy
2025-04-28T18:46:39.938869,192.168.122.3,1.0,0.0,0.0,healthy
2025-04-28T18:46:41.256797,192.168.122.2,1.0,0.0,0.0,healthy
2025-04-28T18:46:41.256797,192.168.122.3,1.0,0.0,0.0,healthy
2025-04-28T18:46:42.715054,192.168.122.2,1.0,0.0,0.0,healthy
2025-04-28T18:46:42.715054,192.168.122.3,1.0,0.0,0.0,healthy
2025-04-28T18:46:43.975873,192.168.122.2,1.0,0.0,0.0,healthy
2025-04-28T18:46:43.975873,192.168.122.3,1.0,0.0,0.0,healthy
2025-04-28T18:46:45.228895,192.168.122.2,1.0,0.0,0.0,healthy
2025-04-28T18:46:45.228895,192.168.122.3,1.0,0.0,0.0,healthy
2025-04-28T18:46:46.608015,192.168.122.2,1.0,0.0,0.0,healthy
2025-04-28T18:46:46.608015,192.168.122.3,1.0,0.0,0.0,healthy
2025-04-28T18:47:28.799032,192.168.122.2,1.0,0.0,0.0,healthy
2025-04-28T18:47:28.799032,192.168.122.3,1.0,0.0,0.0,healthy
2025-04-28T18:47:30.064329,192.168.122.2,1.0,0.0,0.0,healthy
2025-04-28T18:47:30.064329,192.168.122.3,1.0,0.0,0.0,healthy
2025-04-28T18:47:31.374347,192.168.122.2,1.0,0.0,0.0,healthy
2025-04-28T18:47:31.374347,192.168.122.3,1.0,0.0,0.0,healthy
2025-04-28T18:47:32.647230,192.168.122.2,1.0,0.0,0.0,healthy
2025-04-28T18:47:32.647230,192.168.122.3,1.0,0.0,0.0,healthy
2025-04-28T18:47:33.938259,192.168.122.2,1.0,0.0,0.0,healthy
2025-04-28T18:47:33.938259,192.168.122.3,1.0,0.0,0.0,healthy
2025-04-28T19:12:24.990277,192.168.122.2,1.0,0.0,0.0,healthy
2025-04-28T19:12:24.990277,192.168.122.3,0.0,0.0,0.0,healthy
2025-04-28T19:12:24.990277,192.168.122.4,1.0,0.0,0.0,healthy
2025-04-28T19:12:26.330677,192.168.122.2,1.0,0.0,0.0,healthy
2025-04-28T19:12:26.330677,192.168.122.3,0.0,0.0,0.0,healthy
2025-04-28T19:12:26.330677,192.168.122.4,1.0,0.0,0.0,healthy
2025-04-28T19:12:27.696051,192.168.122.2,1.0,0.0,0.0,healthy
2025-04-28T19:12:27.696051,192.168.122.3,0.0,0.0,0.0,healthy
2025-04-28T19:12:27.696051,192.168.122.4,1.0,0.0,0.0,healthy
2025-04-28T19:12:29.022053,192.168.122.2,1.0,0.0,0.0,healthy
2025-04-28T19:12:29.022053,192.168.122.3,0.0,0.0,0.0,healthy
2025-04-28T19:12:29.022053,192.168.122.4,1.0,0.0,0.0,healthy
2025-04-28T19:12:30.431215,192.168.122.2,1.0,0.0,0.0,healthy
2025-04-28T19:12:30.431215,192.168.122.3,0.0,0.0,0.0,healthy
2025-04-28T19:12:30.431215,192.168.122.4,1.0,0.0,0.0,healthy
2025-04-28T19:12:31.782507,192.168.122.2,1.0,0.0,0.0,healthy
2025-04-28T19:12:31.782507,192.168.122.3,0.0,0.0,0.0,healthy
2025-04-28T19:12:31.782507,192.168.122.4,1.0,0.0,0.0,healthy
2025-04-28T22:25:17.869099,192.168.122.2,1.0,0.0,0.0,healthy
2025-04-28T22:25:17.869099,192.168.122.3,1.0,0.0,0.0,healthy
2025-04-28T22:25:17.869099,192.168.122.4,1.0,0.0,0.0,healthy
2025-04-28T22:25:19.181931,192.168.122.2,1.0,0.0,0.0,healthy
2025-04-28T22:25:19.181931,192.168.122.3,1.0,0.0,0.0,healthy
2025-04-28T22:25:19.181931,192.168.122.4,1.0,0.0,0.0,healthy
2025-04-28T22:25:20.475845,192.168.122.2,1.0,0.0,0.0,healthy
2025-04-28T22:25:20.475845,192.168.122.3,1.0,0.0,0.0,healthy
2025-04-28T22:25:20.475845,192.168.122.4,1.0,0.0,0.0,healthy
2025-04-28T22:25:21.807419,192.168.122.2,1.0,0.0,0.0,healthy
2025-04-28T22:25:21.807419,192.168.122.3,1.0,0.0,0.0,healthy
2025-04-28T22:25:21.807419,192.168.122.4,1.0,0.0,0.0,healthy
2025-04-28T22:25:23.098861,192.168.122.2,1.0,0.0,0.0,healthy
2025-04-28T22:25:23.098861,192.168.122.3,1.0,0.0,0.0,healthy
2025-04-28T22:25:23.098861,192.168.122.4,1.0,0.0,0.0,healthy
2025-04-28T22:25:24.400479,192.168.122.2,1.0,0.0,0.0,healthy
2025-04-28T22:25:24.400479,192.168.122.3,1.0,0.0,0.0,healthy
2025-04-28T22:25:24.400479,192.168.122.4,1.0,0.0,0.0,healthy
2025-04-28T22:25:25.681480,192.168.122.2,1.0,0.0,0.0,healthy
2025-04-28T22:25:25.681480,192.168.122.3,1.0,0.0,0.0,healthy
2025-04-28T22:25:25.681480,192.168.122.4,1.0,0.0,0.0,healthy
2025-04-28T22:25:26.974424,192.168.122.2,1.0,0.0,0.0,healthy
2025-04-28T22:25:26.974424,192.168.122.3,1.0,0.0,0.0,healthy
2025-04-28T22:25:26.974424,192.168.122.4,1.0,0.0,0.0,healthy
2025-04-29T10:18:20.272571,192.168.122.2,0.0,0.0,0.0,healthy
2025-04-29T10:18:20.272571,192.168.122.3,0.0,0.0,0.0,healthy
2025-04-29T10:18:20.272571,192.168.122.4,1.0,0.0,0.0,healthy
2025-04-29T10:18:21.891543,192.168.122.2,0.0,0.0,0.0,healthy
2025-04-29T10:18:21.891543,192.168.122.3,0.0,0.0,0.0,healthy
2025-04-29T10:18:21.891543,192.168.122.4,1.0,0.0,0.0,healthy
2025-04-29T10:18:23.405939,192.168.122.2,0.0,0.0,0.0,healthy
2025-04-29T10:18:23.405939,192.168.122.3,0.0,0.0,0.0,healthy
2025-04-29T10:18:23.405939,192.168.122.4,1.0,0.0,0.0,healthy
2025-04-29T10:18:24.939538,192.168.122.2,0.0,0.0,0.0,healthy
2025-04-29T10:18:24.939538,192.168.122.3,1.0,0.0,0.0,healthy
2025-04-29T10:18:24.939538,192.168.122.4,1.0,0.0,0.0,healthy
